District,Latitude,Longitude,February 2025 Probability,February 2025 Tercile,February 2025 Probability Range,March 2025 Probability,March 2025 Tercile,March 2025 Probability Range,April 2025 Probability,April 2025 Tercile,April 2025 Probability Range,May 2025 Probability,May 2025 Tercile,May 2025 Probability Range,June 2025 Probability,June 2025 Tercile,June 2025 Probability Range
Obura/Wonenara District,-6.7384615384615385,145.66666666666666,47.30871646138929,below normal,40-50,36.13119069752848,near normal,<40,41.309572549082944,below normal,40-50,45.02223377207021,above normal,40-50,38.09200335283588,near normal,<40
Obura/Wonenara District,-6.7384615384615385,145.76111111111112,49.0812007572579,below normal,40-50,35.287719680314055,below normal,<40,40.95715372513548,below normal,40-50,44.70451134532044,above normal,40-50,37.95181078597541,near normal,<40
Obura/Wonenara District,-6.7384615384615385,145.85555555555555,50.853685053125986,below normal,50-60,36.96897206981875,below normal,<40,40.60473490118812,below normal,40-50,44.38678891857077,above normal,40-50,37.811618219114976,near normal,<40
Obura/Wonenara District,-6.7384615384615385,145.95,52.62616934899407,below normal,50-60,38.65022445932344,below normal,<40,40.37612984294661,near normal,40-50,44.069066491821104,above normal,40-50,37.94989253265127,above normal,<40
Obura/Wonenara District,-6.646153846153846,145.85555555555555,53.55689845859227,below normal,50-60,38.45039146245171,below normal,<40,41.81425020989145,below normal,40-50,43.742310904949896,above normal,40-50,39.12742481051146,near normal,<40
Obura/Wonenara District,-6.646153846153846,145.95,55.40546704241282,below normal,50-60,39.29471604595369,below normal,<40,41.252599449408855,below normal,40-50,43.53871495502526,above normal,40-50,38.87310575186055,near normal,<40
Obura/Wonenara District,-6.553846153846154,145.85555555555555,56.26011186405853,below normal,50-60,39.931810855084656,below normal,<40,43.02376551859477,below normal,40-50,43.097832891329034,above normal,40-50,40.44323140190792,near normal,40-50
Obura/Wonenara District,-6.553846153846154,145.95,58.18476473583155,below normal,50-60,39.93920763258393,below normal,<40,42.25288282157694,below normal,40-50,43.00836341822943,above normal,40-50,40.074785851466544,near normal,40-50
Obura/Wonenara District,-6.553846153846154,146.04444444444445,60.10941760760515,below normal,60-70,39.94660441008321,below normal,<40,41.48200012455887,below normal,40-50,42.918893945129795,above normal,40-50,39.70634030102505,near normal,<40
Okapa District,-6.9230769230769225,145.38333333333333,37.64410008057327,below normal,<40,42.71636199847003,near normal,40-50,44.573357754708944,near normal,40-50,48.177148231019856,above normal,40-50,37.33489706206867,above normal,<40
Okapa District,-6.8307692307692305,145.38333333333333,39.85946490063867,below normal,<40,40.66211480853158,near normal,40-50,42.86148932770302,near normal,40-50,47.02246659473453,above normal,40-50,36.817972188366724,above normal,<40
Okapa District,-6.8307692307692305,145.4777777777778,41.364871615996776,below normal,40-50,40.05396460464502,near normal,40-50,43.120414463632606,near normal,40-50,46.75866254649058,above normal,40-50,36.96073926153931,above normal,<40
Okapa District,-6.7384615384615385,145.38333333333333,42.074829720704074,below normal,40-50,38.60786761859313,near normal,<40,42.23925628524717,below normal,40-50,45.86778495844921,above normal,40-50,38.37183001878905,near normal,<40
Okapa District,-6.7384615384615385,145.4777777777778,43.76374786965313,below normal,40-50,37.97060104890318,near normal,<40,42.01441019697767,below normal,40-50,45.657678625569545,above normal,40-50,38.372388486556744,near normal,<40
Okapa District,-6.7384615384615385,145.57222222222222,45.53623216552121,below normal,40-50,37.05089587321583,near normal,<40,41.661991373030304,below normal,40-50,45.33995619881988,above normal,40-50,38.232195919696316,near normal,<40
Okapa District,-6.646153846153846,145.2888888888889,42.374030108220055,below normal,40-50,37.034599070683285,near normal,<40,44.12900674063496,below normal,40-50,44.78302222776034,above normal,40-50,40.010911671141436,near normal,40-50
Okapa District,-6.646153846153846,145.38333333333333,44.2901945407695,below normal,40-50,36.55362042865466,near normal,<40,44.34721696113223,below normal,40-50,44.713103322163875,above normal,40-50,40.23141142301575,near normal,40-50
Okapa District,-6.646153846153846,145.4777777777778,46.162624123309506,below normal,40-50,35.887237493161315,near normal,<40,44.06085325182201,below normal,40-50,44.5566947046485,above normal,40-50,40.14470104511516,near normal,40-50
Okapa District,-6.646153846153846,145.57222222222222,48.01119270713006,below normal,40-50,35.917417711945525,below normal,<40,43.49920249133941,below normal,40-50,44.35309875472387,above normal,40-50,39.890381986464256,near normal,<40
Okapa District,-6.646153846153846,145.66666666666666,49.85976129095061,below normal,40-50,36.7617422954475,below normal,<40,42.93755173085682,below normal,40-50,44.14950280479923,above normal,40-50,39.63606292781335,near normal,<40
Okapa District,-6.646153846153846,145.76111111111112,51.70832987477172,below normal,50-60,37.60606687894973,below normal,<40,42.37590097037405,below normal,40-50,43.945906854874536,above normal,40-50,39.381743869162364,near normal,<40
Okapa District,-6.553846153846154,145.2888888888889,44.2089801648361,below normal,40-50,37.74380146809713,below normal,<40,46.02773931108918,below normal,40-50,43.685402817465715,above normal,40-50,41.90853451280362,near normal,40-50
Okapa District,-6.553846153846154,145.38333333333333,46.505559360834894,below normal,40-50,39.33555640866763,below normal,<40,46.45517763701727,below normal,40-50,43.55842168587855,above normal,40-50,42.09099282724244,near normal,40-50
Okapa District,-6.553846153846154,145.4777777777778,48.56150037696586,below normal,40-50,39.90222374508756,below normal,<40,46.10729630666633,below normal,40-50,43.455710783727476,above normal,40-50,41.91701360367355,near normal,40-50
Okapa District,-6.553846153846154,145.57222222222222,50.48615324873888,below normal,50-60,39.909620522586835,below normal,<40,45.336413609648496,below normal,40-50,43.36624131062787,above normal,40-50,41.548568053232174,near normal,40-50
Okapa District,-6.553846153846154,145.66666666666666,52.41080612051191,below normal,50-60,39.91701730008611,below normal,<40,44.56553091263066,below normal,40-50,43.276771837528266,above normal,40-50,41.180122502790795,near normal,40-50
Okapa District,-6.553846153846154,145.76111111111112,54.33545899228551,below normal,50-60,39.92441407758538,below normal,<40,43.794648215612604,below normal,40-50,43.18730236442863,above normal,40-50,40.8116769523493,near normal,40-50
Okapa District,-6.461538461538462,145.4777777777778,50.960376630622214,below normal,50-60,44.73135436173158,below normal,40-50,48.153739361510645,below normal,40-50,42.354726862806444,above normal,40-50,43.68932616223196,near normal,40-50
Okapa District,-6.461538461538462,145.57222222222222,52.96111379034771,below normal,50-60,43.90182333322816,below normal,40-50,47.17362472795758,below normal,40-50,42.379383866531875,above normal,40-50,43.2067541200001,near normal,40-50
